1995	6	19.4	196.1
1995	7	20.2	344.8
1995	8	19.6	185.1
1995	9	18.7	105.7
1995	10	16.1	50.8
1995	11	11	27.3
1995	12	7.7	26.6
1996	1	7.1	13.3
1996	2	6.3	99.4
1996	3	9.8	79.2
1996	4	10.4	263.4
1996	5	15	266.1
1996	6	20.3	150.2
1996	7	20.9	806.7
1996	8	20.1	282
1996	9	19.2	385.8
1996	10	16.2	106.3
1996	11	13.4	76.5
1996	12	8.6	21
1997	1	6.8	58.2
1997	2	6.9	186.6
1997	3	10.4	161.6
1997	4	13	85
1997	5	16.1	176.1
1997	6	17.3	624.7
1997	7	19.1	283.2
1997	8	19.2	843.4
1997	9	16.6	181
1997	10	14.8	38.1
1997	11	12.7	23
1997	12	9.2	49.3
1998	1	6.7	168.8
1998	2	7.4	447.9
1998	3	10.1	211.1
1998	4	15.1	151
1998	5	17	350.8
1998	6	18.8	248.4
1998	7	20.5	79.1
1998	8	20.1	242.4
1998	9	17.5	351.2
1998	10	15.7	925
1998	11	13.4	47.9
1998	12	10.1	119.1
1999	1	8.1	86.1
1999	2	7.6	11.5
1999	3	10.7	121.4
1999	4	13.4	70.3
1999	5	14.8	264.9
1999	6	18.8	405.6
1999	7	19.9	177.7
1999	8	19	399.2
1999	9	18.4	148.4
1999	10	15.7	111.8
1999	11	12.1	30.7
1999	12	7.9	112.7
2000	1	7.7	51.7
2000	2	7.1	318.6
2000	3	9.5	98.3
2000	4	12.1	301.5
2000	5	16.3	108.7
2000	6	18.5	388.2
2000	7	19.7	221.9
2000	8	19	738.8
2000	9	17.3	178.2
2000	10	16.1	243.6
2000	11	13.1	246.8
2000	12	10.2	126.8
2001	1	8	178.8
2001	2	8.7	15.8
2001	3	9.9	136.1
2001	4	12.5	242
2001	5	16.3	216.9
2001	6	18.8	192
2001	7	19.6	316
2001	8	20.3	138.7
2001	9	16.9	1546.2
2001	10	14.7	182.1
2001	11	10.9	28.7
2001	12	8.6	38.3
2002	1	6.7	58.3
2002	2	8.5	42.3
2002	3	11.5	53.7
2002	4	14.5	18.2
2002	5	16.6	114.6
2002	6	19	146
2002	7	19.6	640.5
2002	8	19.9	85.4
2002	9	17.2	333.1
2002	10	15.2	81.7
2002	11	11.1	39.8
2002	12	9.1	93.8
2003	1	6.4	43
2003	2	8.5	17.6
2003	3	8.9	95.2
2003	4	13.9	149
2003	5	16	52.3
2003	6	17.9	264.9
2003	7	20.5	114
2003	8	20.1	115.2
2003	9	18.5	326.5
2003	10	14.8	95.6
2003	11	12.8	86.9
2003	12	8.2	9.2
2004	1	5.9	80
2004	2	8.2	145.4
2004	3	8.4	157.8
2004	4	12.7	124.4
2004	5	16.5	189.8
2004	6	18.3	32.6
2004	7	19.2	291.3
2004	8	19	1408.4
2004	9	17	471.7
2004	10	13	316.5
2004	11	12.7	9.9
2004	12	8.8	180.8
2005	1	5.8	45.6
2005	2	6.3	294.2
2005	3	7.6	310.3
2005	4	13.2	58.9
2005	5	16.5	406.2
2005	6	18.1	199.7
2005	7	19.5	591.4
2005	8	18.8	1321.4
2005	9	18.2	298.8
2005	10	15	283.5
2005	11	13	47.2
2005	12	6.5	56.3
2006	1	7.8	61.1
2006	2	7.7	74.5
2006	3	9	169.2
2006	4	13.3	287.9
2006	5	15.8	326.3
2006	6	18.3	463.8
2006	7	20.1	261.6
2006	8	19.8	147.7
2006	9	17.9	407.3
2006	10	16.4	17.1
2006	11	13.6	156.1
2006	12	9.9	83.9
2007	1	8.1	105.8
2007	2	9.3	48.3
2007	3	10.5	130.3
2007	4	11.2	153.9
2007	5	16.6	254.6
2007	6	18.1	378.8
2007	7	20.1	143.1
2007	8	18.8	609.9
2007	9	17.9	550.7
2007	10	14.5	683.5
2007	11	10.9	161.4
2007	12	9.2	24.9
2008	1	7.3	57.4
2008	2	4.5	87.6
2008	3	9.3	152.1
2008	4	13.1	95.2
2008	5	15.1	209.2
2008	6	18	252.5
2008	7	19.2	472.9
2008	8	19.8	76.2
2008	9	17.9	1400.9
2008	10	16.6	63.2
2008	11	11.7	131.4
2008	12	7.9	58.2
2009	1	5.8	17.3
2009	2	10.5	23.5
2009	3	8.9	204.5
2009	4	11.6	173.8
2009	5	15.7	55.8
2009	6	18.4	290.4
2009	7	20	91.1
2009	8	19.7	620.6
2009	9	19.5	57.8
2009	10	14.4	278.9
2009	11	11.4	42.9
2009	12	7.3	58.6
2010	1	7.2	95.4
2010	2	8.2	239.9
2010	3	10.1	45.8
2010	4	10.9	139
2010	5	15.4	133
2010	6	17	349.1
2010	7	19.9	267.7
2010	8	19.9	116.7
2010	9	18.5	266.6
2010	10	14.6	305.8
2010	11	11.4	49
2010	12	7.3	54.9
2011	1	4.3	77.9
2011	2	7	30.8
2011	3	6.4	94.7
2011	4	11.7	33.9
2011	5	14.8	288.7
2011	6	19.5	421.1
2011	7	19.8	196.6
2011	8	20.2	231.8
2011	9	18.7	65
2011	10	15.7	308.5
2011	11	14.1	220.1
2011	12	8.3	101.3
